artists_id;track_id;artist_id_1;artist_id_2;artist_id_3;artist_id_4;artist_id_5
1;5SuOikwiRyPMVoIQDJUgSV;9265;;;;
2;4qPNDBW1i3p13qLCt0Ki3A;2777;;;;
3;1iJBSr7s7jYXzM8EGcbK5b;11012;28164;;;
4;6lfxq3CG4xtTiEg7opyCyx;13503;;;;
5;5vjLSffimiIP26QG5WcN2K;4640;;;;
6;01MVOl9KtVTNfFiBU9I7dc;26609;;;;
7;6Vc5wAMmXdKIAM7WUoEb7N;199;4736;;;
8;1EzrEOXmMH3G43AXT1y7pA;11595;;;;
9;0IktbUcnAGrvD03AWnz3Q8;11595;5027;;;
10;7k9GuJYLp2AzqokyEdwEw2;21772;;;;
11;4mzP5mHkRvGxdhdGdAH7EJ;28115;;;;
12;5ivF4eQBqJiVL5IAE9jRyl;11595;;;;
13;4ptDJbJl35d7gQfeNteBwp;5532;;;;
14;0X9MxHR1rTkEHDjp95F2OO;1555;;;;
15;4LbWtBkN82ZRhz9jqzgrb3;4640;6056;;;
16;1KHdq8NK9QxnGjdXb55NiG;14093;;;;
17;6xKeQgzfjixSUld14qUezm;1372;21152;;;
18;4Yo0igmcoNyat1secaH0OD;1372;21152;;;
19;6CgNoAbFJ4Q4Id4EjtbXlC;3495;2626;;;
20;210JCw2LbYD4YIs8GiZ9iP;3495;11796;;;
21;0BUuuEvNa5T4lMaewyiudB;11595;;;;
22;3Hn3LfhrQOaKihdCibJsTs;11595;;;;
23;6D33wCKzWtNEgOovgeVJ7r;11595;;;;
24;5IfCZDRXZrqZSm8AwE44PG;11595;;;;
25;0dzKBptH2P5j5a0MifBMwM;11595;;;;
26;1m5LC29RE52Bxy7hxvpOlL;4640;;;;
27;3H36x7buZdQD4687VmFrwY;3531;22189;;;
28;62EwQLDw0dprDzuLwQ0sH1;13815;;;;
29;3lvo0I8c2qBJDLZWqExDgC;3531;;;;
30;1ae8XfBQ3fDEvmBjFaemGV;3531;;;;
31;6sp6Vx3sv2l5qxPfbQkcyt;7389;;;;
32;1WFVfVjCtbmdIv7j3Fa9iy;3531;;;;
33;0e5PAxSyZ5DWWVqKANHETz;3531;15208;;;
34;6JGjevTaqr9J1xp7YvYUKF;3531;;;;
35;72xTsTouZ5nBmASX8k1XCW;10458;;;;
36;3ILmwMefYZoQh5Cf5jeuUQ;17598;;;;
37;2DHDuADAHoUW6n0z80RLQF;1368;;;;
38;5JDcQAztvZTIkrWoZihgvC;21688;;;;
39;2sYFi9xVSZ56WHKSY2fN1K;384;;;;
40;6xJOhSm4SvZwzy3uhWz26O;1368;;;;
41;7lLKxcNeJtDTWVRKHovLEC;1887;;;;
42;25UzeaV47eDT44Fovve6xQ;4640;;;;
43;4oa14QBfWRDfJy2agySy0L;22346;;;;
44;2gRKq9rIC5i1zuxp06zJWH;4640;;;;
45;08MFgEQeVLF37EyZ7jcwLc;28115;;;;
46;6nXIYClvJAfi6ujLiKqEq8;1368;;;;
47;7x4b0UccXSKBWxWmjcrG2T;13848;;;;
48;6owKuyHxUqidcAA6fPKSyy;3495;2626;;;
49;0wbmIfvndFV9VDvuUY1pYN;25954;;;;
50;3e5yu9MkIvQx17mm7LF6KY;4019;;;;
